title,container-title,author,issued,DOI,abstract,link,type
Prabhupadavani: A code-mixed speech translation data for 25 languages,"arXiv preprint arXiv:2201.11391, 2022","Sandhan J, Daksh A, Paranjay OA, Behera L, Goyal P",2022,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:43bX7VzcjpAC,
Meta-ed: Cross-lingual event detection using meta-learning for indian languages,"ACM Transactions on Asian and Low-Resource Language Information Processing …, 2023","Roy A, Sharma I, Sarkar S, Goyal P",2023,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:MhiOAD_qIWkC,
Event argument extraction using causal knowledge structures,"arXiv preprint arXiv:2105.00477, 2021","Kar D, Sarkar S, Goyal P",2021,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:gKiMpY-AVTkC,
Fully contextualized biomedical NER,"European Conference on Information Retrieval, 117-124, 2019","Gupta A, Goyal P, Sarkar S, Gattu M",2019,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:L7CI7m0gUJcC,
Enhancing low-resource nmt with a multilingual encoder and knowledge distillation: A case study,"arXiv preprint arXiv:2407.06538, 2024","Roy A, Ray P, Maheshwari A, Sarkar S, Goyal P",2024,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:5bg8sr1QxYwC,
ArgGen: Prompting text generation models for document-level event-argument aggregation,"Findings of the Association for Computational Linguistics: AACL-IJCNLP 2022 …, 2022","Kar D, Sarkar S, Goyal P",2022,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:Br1UauaknNIC,
Does Meta-learning Help mBERT for Few-shot Question Generation in a Cross-lingual Transfer Setting for Indic Languages?,"Proceedings of the 29th International Conference on Computational …, 2022","Roy A, Thakur RK, Sharma I, Gupta A, Krishna A, Sarkar S, Goyal P",2022,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:CB2v5VPnA5kC,
Systematic Investigation of Strategies Tailored for Low-Resource Settings for Low-Resource Dependency Parsing,"arXiv preprint arXiv:2201.11374, 2022","Sandhan J, Behera L, Goyal P",2022,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:jFemdcug13IC,
ArgFuse: A Weakly-Supervised Framework for Document-Level Event Argument Aggregation,"arXiv preprint arXiv:2106.10862, 2021","Kar D, Sarkar S, Goyal P",2021,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:Ak0FvsSvgGUC,
CSSL: Contrastive Self-Supervised Learning for Dependency Parsing on Relatively Free Word Ordered and Morphologically Rich Low Resource Languages,"arXiv preprint arXiv:2410.06944, 2024","Ray P, Sandhan J, Krishna A, Goyal P",2024,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:DkZNVXde3BIC,
Biomedical Relation Classification by single and multiple source domain adaptation,"Proceedings of the Tenth International Workshop on Health Text Mining and …, 2019","Chakraborty S, Sarkar S, Goyal P, Gattu M",2019,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:oNZyr7d5Mn4C,
